,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.5614311002901131,,Intercept,305.7336556416558,306.0,0.2663443583442131,305.0
1,1,grade:A,1.019755655223701,2.3690113946367976e-28,grade,76.47774020537355,76.0,-0.47774020537355,76.0
2,2,grade:B,0.8878966625392066,2.121102901980942e-48,grade,66.58882442970682,67.0,0.41117557029318164,67.0
3,3,grade:C,0.7068678320089425,4.135517666750403e-36,grade,53.01236049929688,53.0,-0.01236049929688221,53.0
4,4,grade:D,0.5328699371222321,2.3482906130951122e-23,grade,39.96318961874057,40.0,0.03681038125942848,40.0
5,5,grade:E,0.34743774672087896,3.6741995497237526e-13,grade,26.05649068494834,26.0,-0.056490684948339975,26.0
6,6,grade:F,0.18079992098521933,0.00028960019932817234,grade,13.55929659760155,14.0,0.44070340239844974,14.0
7,7,home_ownership:MORTGAGE,0.10399314756884143,1.9817762484950507e-16,home_ownership,7.799084890746956,8.0,0.20091510925304412,8.0
8,8,home_ownership:OWN,0.08525576643772487,2.1780953653115845e-05,home_ownership,6.393853589568,6.0,-0.39385358956799976,6.0
9,9,verification_status:Not Verified,0.09164733312520373,3.159207584292001e-10,verification_status,6.87319643422533,7.0,0.12680356577466956,7.0
10,10,verification_status:Source Verified,-0.005244156093863101,0.6959718894075111,verification_status,-0.3932914765301391,-0.0,0.3932914765301391,-0.0
11,11,purpose:credit_card,0.17970774772417322,2.1350986656053952e-18,purpose,13.47738781632667,13.0,-0.4773878163266705,13.0
12,12,purpose:debt_consolidation,0.06675261904652709,0.00010995560687854653,purpose,5.006188915273708,5.0,-0.00618891527370824,5.0
13,13,addr_state:CA,0.050926312273958295,0.004926763846473573,addr_state,3.819276960862877,4.0,0.18072303913712284,4.0
14,14,addr_state:NY,0.03753627374646995,0.08161114722326096,addr_state,2.815075726381314,3.0,0.18492427361868602,3.0
15,15,addr_state:TX,0.19971209606678555,1.717717763204109e-17,addr_state,14.977636770757321,15.0,0.02236322924267853,15.0
16,16,initial_list_status:w,0.06191641314585328,2.1063814414997424e-06,initial_list_status,4.643492129473299,5.0,0.3565078705267011,5.0
17,17,addr_state:MO_HI_NC_LA,0.041720115130454025,0.08663610484845374,addr_state,3.1288476900725892,3.0,-0.12884769007258923,3.0
18,18,addr_state:NH_AK_MS_WV_WY_DC_ME_ID,0.40492255063738547,5.102427120551254e-20,addr_state,30.367629218148256,30.0,-0.3676292181482559,30.0
19,19,addr_state:CO_CT_SC_VT,0.29107310992255325,1.7262719542204844e-24,addr_state,21.829360364315818,22.0,0.17063963568418217,22.0
